"timestamp","ward","div","time_of_day","obs","vote_method"
"6/1/2020 8:01:58","27","14",09:00:00,"215","by mail"
"6/1/2020 8:47:39","2","5",02:22:00,"8","by mail"
"6/1/2020 8:48:25","2","5",03:07:00,"567","by mail"
"6/1/2020 9:04:45","18","17",12:00:00,"69","by mail"
"6/1/2020 9:16:40","18","17",12:00:00,"69","by mail"
"6/1/2020 12:27:00","36","35",00:00:00,"0","by mail"
"6/1/2020 12:33:32","18","17",18:00:00,"2","by mail"
"6/1/2020 13:30:37","27","11",10:00:00,"0","by mail"
"6/2/2020 7:32:18","18","10",07:00:00,"1","by mail"
"6/2/2020 8:17:07","39","46",07:00:00,"1","by mail"
"6/2/2020 8:19:45","60","08",07:22:00,"22","by mail"
"6/2/2020 8:25:46","2","24",15:00:00,"22","by mail"
"6/2/2020 8:28:30","22","1",16:20:00,"69","by mail"
"6/2/2020 8:32:02","14","4",11:00:00,"20","by mail"
"6/2/2020 8:32:08","36","2",12:34:00,"55378008","by mail"
"6/2/2020 8:35:04","34","30",08:00:00,"20","by mail"
"6/2/2020 9:01:06","36","37",16:20:00,"255","by mail"
"6/2/2020 9:07:06","27","6",12:00:00,"68","by mail"
"6/2/2020 9:26:03","27","6",12:00:00,"68","by mail"
"6/2/2020 9:47:28","48","20",15:15:00,"20","by mail"
"6/2/2020 9:56:18","30","17",04:20:00,"69","by mail"
"6/2/2020 10:18:48","31","10",02:28:00,"1","by mail"
"6/2/2020 10:31:14","39","26",10:00:00,"1","by mail"
"6/2/2020 10:44:30","66","02",10:00:00,"668683","by mail"
"6/2/2020 11:29:57","15","8",07:35:00,"2","in person"
"6/2/2020 11:38:49","8","8",11:00:00,"900","by mail"
"6/2/2020 11:55:36","18","10",11:55:00,"292","in person"
"6/2/2020 12:04:42","36","41",10:00:00,"213","in person"
"6/2/2020 12:09:33","2","29",12:00:00,"20","by mail"
"6/2/2020 12:25:38","1","21",11:00:00,"213","in person"
"6/2/2020 12:37:53","48","16",09:00:00,"64","by mail"
"6/2/2020 12:44:03","5","7",12:00:00,"10","by mail"
"6/2/2020 13:00:31","39","35",11:11:00,"1","by mail"
"6/2/2020 13:29:27","46","19",11:11:00,"13","by mail"
"6/2/2020 13:36:22","8","4",08:00:00,"69","by mail"
"6/2/2020 13:38:36","36","41",02:00:00,"0","by mail"
"6/2/2020 13:56:09","21","31",14:00:00,"12","by mail"
"6/2/2020 13:56:37","31","12",13:56:00,"13","by mail"
"6/2/2020 14:16:18","36","37",10:00:00,"0","by mail"
"6/2/2020 14:17:09","09","10",02:00:00,"666","by mail"
"6/2/2020 14:31:26","6","1",10:00:00,"1","by mail"
"6/2/2020 14:54:20","9","14",14:30:00,"442","in person"
"6/2/2020 15:03:03","24","5",07:40:00,"1","by mail"
"6/2/2020 15:04:08","36","02",08:08:00,"86","by mail"
"6/2/2020 15:07:18","5","1",04:00:00,"999","by mail"
"6/2/2020 15:16:16","29","18",06:00:00,"69420","by mail"
"6/2/2020 15:42:53","5","21",14:45:00,"28","in person"
"6/2/2020 15:56:58","18","07",07:37:00,"37","by mail"
"6/2/2020 16:03:30","9","1",15:00:00,"0","in person"
"6/2/2020 16:13:37","15","15",16:20:00,"69","by mail"
"6/2/2020 16:25:13","1","02",00:01:00,"11","by mail"
"6/2/2020 16:41:48","47","02",14:35:00,"94","in person"
"6/2/2020 16:47:18","44","26",02:00:00,"10","by mail"
"6/2/2020 17:22:24","39","05",09:16:00,"12","by mail"
"6/2/2020 17:28:46","15","14",17:28:00,"10","by mail"
"6/2/2020 17:49:00","55","10",15:00:00,"95","in person"
"6/2/2020 17:49:28","31","11",16:20:00,"69","by mail"
"6/2/2020 17:49:40","27","13",17:35:00,"95","in person"
"6/2/2020 17:53:05","55","10",17:45:00,"140","in person"
"6/2/2020 17:54:09","32","21",11:15:00,"85","in person"
"6/2/2020 18:11:56","1","1",12:00:00,"7","by mail"
"6/2/2020 18:13:30","21","01",04:19:00,"419","by mail"
"6/2/2020 18:12:37","01","08",07:00:00,"42","by mail"
"6/2/2020 18:21:05","1","5",15:00:00,"0","by mail"
"6/2/2020 18:35:04","15","13",13:13:00,"44","by mail"
"6/2/2020 18:42:36","22","17",17:32:00,"42","by mail"
"6/2/2020 19:04:29","18","2",10:00:00,"1","by mail"
"6/2/2020 19:06:32","12","13",14:30:00,"0","by mail"
"6/2/2020 19:07:53","3","6",19:00:00,"27","by mail"
"6/2/2020 19:08:12","1","2",11:00:00,"100","by mail"
"6/2/2020 19:08:20","3","6",19:00:00,"14","by mail"
"6/2/2020 19:08:52","46","16",14:30:00,"420","by mail"
"6/2/2020 19:12:40","8","19",02:15:00,"13","by mail"
"6/2/2020 19:14:43","1","8",16:00:00,"0","by mail"
"6/2/2020 19:15:10","5","27",19:00:00,"20","by mail"
"6/2/2020 19:15:27","21","19",12:00:00,"72","by mail"
"6/2/2020 19:15:45","21","9",16:00:00,"000","by mail"
"6/2/2020 19:19:09","8","33",11:00:00,"1","by mail"
"6/2/2020 19:19:34","8","27",00:00:00,"0","by mail"
"6/2/2020 19:26:55","8","5",17:30:00,"7","by mail"
"6/2/2020 19:27:55","48","08",15:30:00,"420","by mail"
"6/2/2020 19:30:10","46","9",08:00:00,"69","by mail"
"6/2/2020 19:30:59","30","13",13:30:00,"1","by mail"
"6/2/2020 19:31:33","48","16",12:48:00,"12","by mail"
"6/2/2020 19:55:05","5","28",00:00:00,"0","by mail"
