"Timestamp","Ward (1 - 66)","Division (1 - 51)","Time of day","Voter number within your division (how many people voted before you, plus you)"
"11/5/2019 8:58:55","9","13",08:35:00,37
"11/5/2019 8:59:07","8","26",08:05:00,35
"11/5/2019 9:01:39","2","18",08:35:00,35
"11/5/2019 9:03:53","60","2",08:10:00,19
"11/5/2019 9:04:04","39","30",08:10:00,28
"11/5/2019 9:04:22","30","07",08:55:00,80
"11/5/2019 9:07:42","27","23",09:07:00,67
"11/5/2019 9:08:22","46","08",09:04:00,55
"11/5/2019 9:09:28","8","12",07:01:00,2
"11/5/2019 9:09:50","6","3",09:09:00,34
"11/5/2019 9:10:16","48","16",07:54:00,10
"11/5/2019 9:13:43","39","46",09:05:00,69
"11/5/2019 9:13:56","22","1",09:13:00,64
"11/5/2019 9:14:30","15","13",08:50:00,52
"11/5/2019 9:14:36","46","08",08:00:00,34
"11/5/2019 9:15:06","46","08",08:05:00,35
"11/5/2019 9:15:43","47","1",09:15:00,34
"11/5/2019 9:15:45","18","1",07:30:00,3
"11/5/2019 9:17:06","8","13",08:50:00,32
"11/5/2019 9:19:09","18","14",09:00:00,35
"11/5/2019 9:19:37","29","17",08:45:00,26
"11/5/2019 9:20:04","30","5",09:15:00,52
"11/5/2019 9:20:05","5","1",08:55:00,35
"11/5/2019 9:20:08","36","37",09:19:00,65
"11/5/2019 9:20:59","8","28",09:19:00,72
"11/5/2019 9:21:22","2","5",08:30:00,46
"11/5/2019 9:22:09","1","16",09:06:00,35
"11/5/2019 9:23:53","5","4",08:37:00,53
"11/5/2019 9:25:40","5","1",09:25:00,62
"11/5/2019 9:25:48","5","28",09:25:00,49
"11/5/2019 9:26:08","46","3",08:30:00,44
"11/5/2019 9:26:12","5","37",09:26:00,47
"11/5/2019 9:27:16","5","6",09:05:00,55
"11/5/2019 9:28:26","46","23",09:27:00,78
"11/5/2019 9:30:24","30","8",08:57:00,30
"11/5/2019 9:32:29","18","16",09:31:00,50
"11/5/2019 9:34:19","31","18",08:18:00,16
"11/5/2019 9:35:35","1","3",09:31:00,76
"11/5/2019 9:35:43","1","3",09:31:00,76
"11/5/2019 9:36:22","39","45",09:36:00,83
"11/5/2019 9:36:48","15","7",09:30:00,70
"11/5/2019 9:39:04","31","04",09:15:00,60
"11/5/2019 9:39:46","8","1",09:39:00,85
"11/5/2019 9:39:58","29","11",09:40:00,43
"11/5/2019 9:41:35","27","23",08:14:00,34
"11/5/2019 9:41:42","5","5",08:45:00,0
"11/5/2019 9:43:00","18","17",09:30:00,73
"11/5/2019 9:43:02","1","2",08:15:00,28
"11/5/2019 9:43:59","39","10",07:15:00,8
"11/5/2019 9:45:57","1","11",09:15:00,58
"11/5/2019 9:46:01","46","22",09:38:00,75
"11/5/2019 9:47:29","39","43",09:47:00,40
"11/5/2019 9:48:25","2","21",09:00:00,31
"11/5/2019 9:48:48","63","1",09:30:00,36
"11/5/2019 9:49:01","8","23",08:40:00,61
"11/5/2019 9:49:27","39","7",09:00:00,34
"11/5/2019 9:50:23","5","34",09:47:00,43
"11/5/2019 9:50:57","18","17",08:05:00,34
"11/5/2019 9:51:17","60","8",09:15:00,28
"11/5/2019 9:51:54","14","1",08:45:00,53
"11/5/2019 9:52:44","39","26",09:30:00,57
"11/5/2019 9:53:15","5","32",09:40:00,59
"11/5/2019 9:54:02","5","17",09:50:00,75
"11/5/2019 9:55:17","8","22",07:05:00,1
"11/5/2019 9:55:43","8","32",09:55:00,63
"11/5/2019 9:55:56","39","46",09:45:00,87
"11/5/2019 9:56:39","31","1",09:56:00,53
"11/5/2019 9:56:43","8","26",09:56:00,70
"11/5/2019 9:59:53","30","07",09:55:00,104
"11/5/2019 10:00:25","46","22",08:15:00,37
"11/5/2019 10:00:25","02","15",09:52:00,60
"11/5/2019 10:01:17","5","9",07:05:00,3
"11/5/2019 10:02:29","48","08",10:00:00,44
"11/5/2019 10:02:48","38","39",09:00:00,40
"11/5/2019 10:03:10","15","3",10:02:00,90
"11/5/2019 10:05:10","34","34",07:46:00,18
"11/5/2019 10:06:10","18","11",08:10:00,40
"11/5/2019 10:06:12","1","19",08:15:00,39
"11/5/2019 10:06:17","2","29",08:15:00,43
"11/5/2019 10:07:32","8","9",08:40:00,55
"11/5/2019 10:08:30","36","29",09:36:00,41
"11/5/2019 10:09:11","30","06",08:30:00,43
"11/5/2019 10:11:58","46","9",10:10:00,88
"11/5/2019 10:13:02","8","13",10:10:00,60
"11/5/2019 10:13:03","30","3",09:00:00,42
"11/5/2019 10:13:07","36","16",10:00:00,48
"11/5/2019 10:13:11","15","4",09:30:00,41
"11/5/2019 10:13:17","8","22",10:06:00,36
"11/5/2019 10:13:39","8","22",10:11:00,37
"11/5/2019 10:13:52","1","4",08:30:00,40
"11/5/2019 10:13:58","8","22",10:13:00,38
"11/5/2019 10:14:41","26","21",09:05:00,21
"11/5/2019 10:15:54","36","08",09:35:00,41
"11/5/2019 10:16:18","46","17",07:30:00,22
"11/5/2019 10:16:25","36","5",09:57:00,55
"11/5/2019 10:17:36","30","03",09:58:00,60
"11/5/2019 10:17:45","8","22",10:17:00,39
"11/5/2019 10:18:50","1","11",09:30:00,73
"11/5/2019 10:20:10","56","5",10:06:00,28
