"precinct","turnout","sum_fe","re_over_fe"
"5843",53.2016139320947,0.936007435260407,0.993084253215814
"5844",115.542654419996,1.80204676524849,1.12025494647847
"5901",48.0488839415068,0.915785140340395,0.916706475295926
"5902",87.893456338634,1.42973382055287,1.07409313138088
"5903",57.4787591678527,1.12884220774319,0.889640881160322
"5904",133.338537921604,2.00092085778989,1.16430393220875
"5905",97.1668766608691,1.52887843938233,1.11041641611569
"5906",36.9866913809037,0.770306992233346,0.838923249437891
"5907",54.0846647599543,0.955844376675737,0.988615782765871
"5908",84.5187519436776,1.21740857302079,1.2129902401426
"5909",48.4741305007145,0.872310139132524,0.970911609550195
"5910",109.803146172871,1.89488124574684,1.01244950756784
"5911",61.0206359160094,1.11923857585459,0.952565056352446
"5912",80.1652223696658,1.18529142931591,1.18168424258657
"5913",77.9499836557443,1.27041102072696,1.07204338843924
"5914",48.7583037779653,0.871034116459247,0.9780341290417
"5915",56.6521317908135,1.00027844260368,0.989545878772353
"5916",63.1466757034218,1.02434337727097,1.07707393315769
"5917",140.491174566231,1.9719722366057,1.24476920075961
"5918",76.0195070855237,1.21142550375746,1.09639973947824
"5919",117.000542516348,1.72422720644066,1.18558847490161
"5920",26.1393177417662,0.537195204288584,0.85016399405374
"5921",77.2757318641295,1.24206869040921,1.08702141328462
"5922",110.472225888844,1.57483637228249,1.22562681696357
"5923",81.1608814067407,1.25035128826588,1.13411030277571
"5924",63.0027259986377,0.977450216646335,1.12617343988757
"5925",103.938735835435,1.50341001408625,1.20792669307841
"6001",38.6209076966881,0.743868362993805,0.907124663839889
"6002",86.0447339254575,1.32655369864737,1.13328736799685
"6003",52.6916374798924,0.902436817285916,1.02015338955255
"6004",58.5280392335591,1.00095898916635,1.02161739181655
"6005",60.9569620445507,1.14161324707802,0.932921070367205
"6006",68.2029563350383,1.0969407820837,1.08632707538771
"6007",57.7172623910785,1.00611891500893,1.0022983070315
"6008",54.3501615599808,0.862577009473986,1.10088903898768
"6009",127.235811617327,1.85789176260153,1.196546393575
"6010",63.2889550814285,1.02536190342246,1.07842844581942
"6011",74.6723794169085,1.35564207096301,0.962399832727791
"6012",58.9302640742783,0.973893984798521,1.05722467475893
"6013",57.6997860438088,0.939057024149378,1.07355135412537
"6014",68.0451679086812,1.17132830673571,1.01498409827988
"6015",86.0166092963362,1.17027270295606,1.28420935960648
"6016",67.3368018285174,1.15714480712315,1.01672935295243
"6017",90.1056554632231,1.44654936258519,1.08832693798574
"6018",75.8979329347508,1.22843785535527,1.0794868192337
"6019",71.6628161983805,1.17920077585696,1.06180973223843
"6020",79.8368581939839,1.39418700790144,1.00051359321548
"6021",48.629764370101,0.844107366683643,1.00657250129191
"6022",57.8227936324284,1.00485793619455,1.00539099310344
