"timestamp","row_number","ward","div","precinct","obs","log_obs","precinct_num","minute"
"11/5/2019 14:22:00",462,"21","44","2144",118,4.77068462446567,491,432
"11/5/2019 7:43:00",463,"13","08","1308",5,1.6094379124341,304,33
"11/5/2019 14:22:00",464,"22","24","2224",149,5.00394630594546,516,432
"11/5/2019 8:19:00",465,"63","18","6318",16,2.77258872223978,1609,69
"11/5/2019 9:00:00",466,"40","12","4012",23,3.13549421592915,975,110
"11/5/2019 13:03:00",467,"40","17","4017",45,3.80666248977032,980,353
"11/5/2019 11:46:00",469,"25","01","2501",34,3.52636052461616,564,276
"11/5/2019 10:18:00",470,"31","08","3108",30,3.40119738166216,694,188
"11/5/2019 13:47:00",471,"21","25","2125",130,4.86753445045558,472,397
"11/5/2019 12:53:00",473,"14","02","1402",96,4.56434819146784,323,343
"11/5/2019 10:05:00",474,"23","20","2320",44,3.78418963391826,541,175
"11/5/2019 10:35:00",475,"40","33","4033",25,3.2188758248682,996,205
"11/5/2019 10:30:00",476,"11","17","1117",70,4.24849524204936,269,200
"11/5/2019 12:10:00",477,"57","21","5721",59,4.07753744390572,1438,300
"11/5/2019 13:40:00",478,"62","04","6204",72,4.27666611901606,1569,390
"11/5/2019 10:07:00",479,"48","18","4818",25,3.2188758248682,1189,177
"11/5/2019 13:58:00",480,"40","21","4021",56,4.02535169073515,984,408
"11/5/2019 8:08:00",481,"16","17","1617",13,2.56494935746154,368,58
"11/5/2019 9:56:00",482,"48","02","4802",53,3.97029191355212,1173,166
"11/5/2019 11:58:00",483,"34","27","3427",65,4.17438726989564,787,288
"11/5/2019 7:44:00",484,"46","04","4604",5,1.6094379124341,1138,34
"11/5/2019 11:02:00",485,"21","17","2117",79,4.36944785246702,464,232
"11/5/2019 10:25:00",486,"47","13","4713",39,3.66356164612965,1170,195
"11/5/2019 10:42:00",487,"66","04","6604",49,3.89182029811063,1661,212
"11/5/2019 10:49:00",488,"32","08","3208",35,3.55534806148941,713,219
"11/5/2019 8:41:00",489,"33","11","3311",19,2.94443897916644,747,91
"11/5/2019 12:22:00",490,"17","19","1719",69,4.23410650459726,388,312
"11/5/2019 14:02:00",491,"21","18","2118",96,4.56434819146784,465,412
"11/5/2019 13:53:00",492,"63","11","6311",213,5.36129216570943,1602,403
"11/5/2019 9:47:00",493,"18","15","1815",33,3.49650756146648,413,157
"11/5/2019 8:39:00",494,"48","21","4821",34,3.52636052461616,1192,89
"11/5/2019 9:39:00",495,"25","20","2520",21,3.04452243772342,583,149
"11/5/2019 8:21:00",496,"45","22","4522",14,2.63905732961526,1131,71
"11/5/2019 7:33:00",497,"63","18","6318",4,1.38629436111989,1609,23
"11/5/2019 13:06:00",498,"34","28","3428",58,4.06044301054642,788,356
"11/5/2019 9:24:00",499,"29","15","2915",35,3.55534806148941,666,134
"11/5/2019 9:47:00",500,"13","10","1310",76,4.33073334028633,306,157
