"precinct","precinct_fe","re_fit","turnout","precinct_fe_p025","re_fit_p025","turnout_p025","precinct_fe_p975","re_fit_p975","turnout_p975"
"0303",0.379973211779488,0.251729980433046,200.120177016926,0.379973211779488,0.224276861896544,193.900576732833,0.379973211779488,0.250342953134699,214.586477511906
"0304",0.471493706342113,0.479096087511815,251.208727758566,0.471493706342113,0.422223788455304,244.339089002706,0.471493706342113,0.474944286443654,261.99942391649
"0305",0.109643167154098,-0.121544613232852,137.777970149411,0.109643167154098,-0.165299778302491,131.409443842748,0.109643167154098,-0.0950805486978736,150.468432633527
"0306",0.256061346064594,0.137440230720959,178.507090203961,0.256061346064594,0.112377299031244,173.410590105025,0.256061346064594,0.135121414176783,191.584530455307
"0307",0.245435863233982,0.0610997631228778,165.386945703865,0.245435863233982,0.0226265234579894,158.626346290191,0.245435863233982,0.0578106873440428,177.087886746298
"0308",0.301136602438957,0.179141694101468,186.10849029782,0.301136602438957,0.152104603622904,180.6234953835,0.301136602438957,0.175923363652362,198.53806000553
"0309",0.50662257867644,0.438308171677964,241.168597217178,0.50662257867644,0.402902243175864,236.004506731923,0.50662257867644,0.426758940624508,254.300372662231
"0310",0.255750250224796,-0.0844471330809639,142.985175586598,0.255750250224796,-0.162524237615541,142.822028233221,0.255750250224796,0.167403230310529,191.119164937373
"0311",0.473999343455175,0.451207896013941,244.299757774401,0.473999343455175,0.401430729911757,238.400653814048,0.473999343455175,0.44163599485725,255.564613386204
"0312",0.307015482617858,0.149368222307057,180.649070640133,0.307015482617858,0.11680889500001,174.192857809467,0.307015482617858,0.148087135564358,194.047036606614
"0313",0.0987261547337063,-0.0974600970486626,141.136568662844,0.0987261547337063,-0.135718384103453,135.288741641579,0.0987261547337063,-0.0782455674668028,153.573469140763
"0314",0.37123778293462,0.385760539340327,228.822965940127,0.37123778293462,0.336942409749468,221.269915531846,0.37123778293462,0.384172927196409,239.99112798601
"0315",0.330146666843033,0.281606236579024,206.189227514296,0.330146666843033,0.249517220002463,202.054889623939,0.330146666843033,0.272889068248872,218.044755667158
"0316",0.464632783634517,0.393783277401108,230.666136408901,0.464632783634517,0.368032960564319,225.617623032126,0.464632783634517,0.386499210044221,244.756753613539
"0317",0.454414606805385,0.47223749036799,249.491683284878,0.454414606805385,0.415356224155672,243.177660147462,0.454414606805385,0.470083642037187,260.306894886555
"0318",0.419620621564853,0.341192585570792,218.848711562575,0.419620621564853,0.312592734804828,213.668105803672,0.419620621564853,0.332862540971628,231.704622106721
"0319",0.549725114231063,0.413922388937245,235.358640287922,0.549725114231063,0.383440787019875,227.580051762702,0.549725114231063,0.407129582997852,250.261415407779
"0320",0.0966775340379067,0.086121994881399,169.577506131786,0.0966775340379067,0.0444010023992674,164.196266873878,0.0966775340379067,0.0802622129826048,178.506368255697
"0321",-0.248780744343661,-0.386368538705547,105.722691908503,-0.248780744343661,-0.412480752013236,102.574604482406,-0.248780744343661,-0.353880914967435,116.338782698033
"0322",-0.00603825480171941,0.0218302133505445,159.018143232523,-0.00603825480171941,0.00146832363278938,155.933257831172,-0.00603825480171941,0.0269266396448339,171.207070970479
"0401",0.164576006006223,0.0795924177371966,168.473843868773,0.164576006006223,0.0582382132594975,164.392506644686,0.164576006006223,0.0757004041919601,179.643651037519
"0402",0.436745598941985,0.334834507716642,217.461668552518,0.436745598941985,0.312321830000884,211.744748321624,0.436745598941985,0.33198638349369,232.808810216971
"0403",0.368966052211674,-0.478875216863089,96.3813650073371,0.368966052211674,-0.990395938376724,59.2801194924482,0.368966052211674,0.28762027056752,218.342564257985
"0404",-0.0519709699758257,-0.280484789589525,117.531137814164,-0.0519709699758257,-0.323115203136155,112.176645899322,-0.0519709699758257,-0.243794869606294,129.41887645328
"0405",0.244496326263619,0.198870569872814,189.816660319393,0.244496326263619,0.188522937602799,187.118544184885,0.244496326263619,0.200276093192559,205.012908704213
"0406",0.267584527872272,0.123534659233489,176.042025885446,0.267584527872272,0.0955807356372183,170.489191341841,0.267584527872272,0.141372665856381,191.77699541649
"0407",0.387444310611791,0.426068684845088,238.234808008837,0.387444310611791,0.384540825050951,230.883963752478,0.387444310611791,0.430155741406279,251.328212512142
"0408",0.386858385016573,0.282070599607008,206.284996402367,0.386858385016573,0.260460147685622,201.131867627204,0.386858385016573,0.281044818591448,222.215810726337
"0409",0.290463247017606,0.317915860921437,213.813459790234,0.290463247017606,0.267793094501667,206.93919814833,0.290463247017606,0.318749913421467,224.172866886809
"0410",0.279754913840387,0.205550948442991,191.088952434149,0.279754913840387,0.185083075358632,186.959030511827,0.279754913840387,0.20411969263011,204.662953069052
"0411",0.338541690980007,0.173118905971323,184.990966972727,0.338541690980007,0.139398800178181,178.124892579355,0.338541690980007,0.181232225739038,199.975892837998
"0412",0.000883700805085486,-0.0109663754707748,153.887484502908,0.000883700805085486,-0.0311560493210517,150.709135400596,0.000883700805085486,-0.00819514823275178,166.050148472672
"0413",0.426109755470663,0.309884739906095,212.103174964767,0.426109755470663,0.283363538333024,205.699903747073,0.426109755470663,0.306546001701147,226.215775405406
"0414",0.112080836628215,0.163148400221708,183.15567805621,0.112080836628215,0.0255165385978542,163.357807056795,0.112080836628215,0.193967888516109,194.585556690377
"0415",0.168892250042586,0.160370599727646,182.647614100062,0.168892250042586,0.1402766248726,178.932176525268,0.168892250042586,0.162645530117441,196.908010941449
"0416",0.164358492963339,0.15868872300774,182.340681513698,0.164358492963339,0.145002453604434,179.718081516304,0.164358492963339,0.161188230987121,197.167161362201
"0417",0.280256944967597,0.213669738080999,192.646678309039,0.280256944967597,0.198786148808189,189.017903753616,0.280256944967597,0.211206412143558,206.81575250892
"0418",0.324703049387333,0.262835453059249,202.35499253748,0.324703049387333,0.24827756791063,198.667834254993,0.324703049387333,0.262485456644772,217.604463774077
"0419",-0.053341554765973,-0.22693636027273,123.996300498163,-0.053341554765973,-0.260898990790619,119.368735679945,-0.053341554765973,-0.211929304810843,134.661539482253
"0420",0.165868291014921,0.156586410003165,181.957746992839,0.165868291014921,0.127627143540911,176.757193119066,0.165868291014921,0.159220074622072,195.568977768664
"0421",0.488767096158859,0.431511868286421,239.535099422842,0.488767096158859,0.38166653946979,234.154183986266,0.488767096158859,0.416727626358663,250.237562071842
