"precinct","turnout","sum_fe","re_over_fe"
"0101",217.756740368418,0.985840401253046,1.69558594715246
"0102",224.888010467059,1.26499164116795,1.36468827565546
"0103",324.03258100114,1.64258538279861,1.51431261471405
"0104",237.311374892978,1.26763876801617,1.43706977969727
"0105",203.665198561989,0.744338428042316,2.10039607418834
"0106",149.877453924095,0.78044135582019,1.47418112377253
"0107",139.115419120092,0.742286005750127,1.43866212227462
"0108",137.654666129284,0.866297074177697,1.2197726847511
"0109",210.183775019011,1.17390943006735,1.3744198236031
"0110",189.570942161331,1.16757824624593,1.2463516344679
"0111",458.64329067906,1.58083364143143,2.22712036487087
"0112",112.978922279879,0.735124197644476,1.1797541754624
"0113",151.751925082417,0.947797219794376,1.22906143722433
"0114",225.175216120464,0.880021214248874,1.96418441381531
"0115",272.857330275476,1.57952243939178,1.32606447130873
"0116",162.376348483437,0.870481616619133,1.43191744724982
"0117",157.084207730781,1.17497082819594,1.02626674335457
"0118",169.335854502526,1.41815480821527,0.916600512503948
"0119",247.387755973797,1.56080550666023,1.21670201256056
"0120",255.719904435208,1.67691349209622,1.17060045435815
"0121",194.38208409542,1.29047196086574,1.15627856638102
"0201",260.986719762943,1.73432926151163,1.1551587477298
"0202",151.50292695726,0.928164468969686,1.25299950071212
"0203",170.720132576854,0.869509311594144,1.5071806715166
"0204",209.428275903905,1.23648956376751,1.30016860850482
"0205",220.290304749535,1.20447437078282,1.40395321022244
"0206",279.414099280132,1.33469161509749,1.60702339275673
"0207",248.858187816545,1.42026282922904,1.34504875613375
"0208",179.101641296427,0.888873778250621,1.54672920164214
"0209",216.835320682875,1.14394973829941,1.45504993272168
"0210",269.195643908303,1.2901023557297,1.60176453458977
"0211",279.433797871052,1.26550845008178,1.69499607903346
"0212",240.869560700841,1.42536712147324,1.29720913282259
"0213",107.033055195137,0.551385597489104,1.49010653121651
"0214",231.340170285675,1.54912584377026,1.14635509497247
"0215",231.978368419798,1.75124546327612,1.01684622393974
"0216",394.859926374875,2.16344574657696,1.40104429279274
"0217",285.204867910326,1.44490085767338,1.51521303861167
"0218",229.537129372975,1.38168842866862,1.27525677470222
"0219",218.162902644419,1.34657031483016,1.24367436009293
"0220",253.159868504784,0.414872834137634,4.68419188235421
"0221",142.817226335563,0.930570711177434,1.17811050575646
"0222",318.29380296151,1.83289827389559,1.33304446147244
"0223",317.344023656378,1.67800219094172,1.45175260584891
"0224",293.593681250895,1.63316658470409,1.37997440937439
"0225",252.64899713161,1.50159273681229,1.29157679472681
"0226",355.347375435648,2.20290122049278,1.23826301796512
"0227",365.533926054997,1.85902331280233,1.50937679498139
"0301",125.851815907798,1.10227594422408,0.876443593054651
"0302",202.42387106429,1.12824861154209,1.37724667319576
"0303",173.848028589312,1.45504300350035,0.917167707084633
"0304",221.102350639786,1.58086987189583,1.07362360355687
"0305",117.866604980318,1.11262412477219,0.813199524053618
"0306",154.008286929322,1.28360473671904,0.921016886609994
"0307",145.482550980372,1.27037122951167,0.879093506088845
"0308",164.345488788078,1.34431444367699,0.938451291701316
"0309",214.197955621718,1.64561834950076,0.999173745736727
"0310",161.823116429729,1.2822324878715,0.968787659627275
"0311",218.864677195726,1.59305578876768,1.05462850335088
"0312",210.582439903367,1.3514678834428,1.19611032057196
"0313",120.22576835502,1.09991958837181,0.839056949395581
"0314",203.139769627649,1.44101385769284,1.08213541943176
"0315",182.362459500754,1.38302977630024,1.01218226667971
"0316",200.75707182323,1.57776928520193,0.976747187014216
"0317",222.963179781676,1.56103781026831,1.09641392069636
"0318",194.192573608385,1.51357246267548,0.984882030192919
"0319",210.456270769395,1.72604154221477,0.935977567898297
"0320",147.520124349412,1.09128960061011,1.03768626177354
"0321",59.0959748286124,0.778648771295062,0.582600847799899
"0322",132.123453923787,0.988206101102057,1.02633041987083
"0401",149.115508499256,1.17706457078827,0.972472524438651
"0402",192.027462900228,1.54688875228261,0.952925779807099
"0403",178.6233763609,1.43915900575662,0.952761782738309
"0404",99.0381493236138,0.948359819414033,0.801648870296151
"0405",158.233085656243,1.2674636380287,0.95833335090634
"0406",148.901727786367,1.30364623021829,0.876788404965997
"0407",208.592848086812,1.46653568217027,1.09184651830875
"0408",175.84467020456,1.46169006317067,0.923482625163451
"0409",187.4798582239,1.325138000093,1.08604625450186
"0410",163.561467544507,1.31480146727391,0.954939004301415
"0411",161.058270408252,1.40304069035663,0.881185979240321
"0412",126.951135542707,0.993105772643511,0.98128666563911
"0413",188.00500494897,1.52773824187712,0.944659453189222
"0414",131.767505883867,1.11202347000553,0.909597349265561
"0415",150.82054946583,1.17457200951375,0.985679411573386
"0416",150.834085447314,1.17123247985755,0.988578590538528
"0417",164.871620436309,1.31548112800535,0.962090880881715
"0418",171.467919486379,1.37456827562626,0.957571861745463
"0419",105.067494307172,0.942697128120774,0.855561050375615
"0420",152.513000457837,1.17404756975756,0.997185569724999
"0421",218.889460262565,1.62056261892874,1.03684502292695
"0501",372.118115900003,2.69808791851134,1.05871613046063
"0502",265.746015561503,1.7955558321493,1.13611596226418
"0503",326.603787923336,2.49192500074888,1.00609980296579
"0504",349.121700895305,2.31868967023704,1.15581687629914
"0505",295.954459108928,2.05068931586176,1.10784711979011
"0506",338.614477681105,1.94568587541932,1.3359420208362
"0507",188.71156056154,1.52945960899332,0.947142462879974
"0508",430.999994044098,2.22882038352084,1.48442071789543
"0509",347.857778981742,1.4441941067239,1.84897468513552
"0510",263.792208308532,1.42314646555883,1.4228764088281
"0511",167.349608211096,1.74690102718498,0.735378982952662
