"timestamp","row_number","ward","div","precinct","obs","log_obs","precinct_num","minute"
2020-11-03 07:38:19,1,"51","07","5107",2,0.693147180559945,1253,10
2020-11-03 07:42:10,2,"05","37","0537",24,3.17805383034795,130,41
2020-11-03 07:42:51,3,"05","01","0501",14,2.63905732961526,94,42
2020-11-03 07:43:44,4,"08","28","0828",33,3.49650756146648,199,43
2020-11-03 07:45:19,5,"27","14","2714",2,0.693147180559945,624,3
2020-11-03 07:48:19,6,"15","08","1508",38,3.63758615972639,340,40
2020-11-03 07:48:52,7,"15","03","1503",38,3.63758615972639,335,48
2020-11-03 07:49:03,8,"15","03","1503",38,3.63758615972639,335,48
2020-11-03 08:05:39,9,"02","14","0214",16,2.77258872223978,35,25
2020-11-03 08:06:14,10,"36","36","3636",33,3.49650756146648,870,56
2020-11-03 08:12:07,11,"02","18","0218",9,2.19722457733622,39,13
2020-11-03 08:17:03,12,"46","03","4603",27,3.29583686600433,1137,67
2020-11-03 08:18:09,13,"02","18","0218",60,4.0943445622221,39,76
2020-11-03 08:19:02,14,"02","22","0222",68,4.21950770517611,43,78
2020-11-03 08:19:45,15,"18","10","1810",36,3.58351893845611,408,70
2020-11-03 08:23:48,16,"36","35","3635",57,4.04305126783455,869,80
2020-11-03 08:32:36,17,"31","10","3110",55,4.00733318523247,696,90
2020-11-03 08:32:40,18,"05","32","0532",69,4.23410650459726,125,92
2020-11-03 08:32:51,19,"27","07","2707",45,3.80666248977032,617,90
2020-11-03 08:33:32,20,"27","02","2702",48,3.87120101090789,612,92
2020-11-03 08:37:21,21,"39","01","3901",52,3.95124371858143,918,75
2020-11-03 08:38:35,22,"36","40","3640",64,4.15888308335967,874,75
2020-11-03 08:38:54,23,"36","38","3638",55,4.00733318523247,872,98
2020-11-03 08:39:20,24,"36","37","3637",31,3.43398720448515,871,98
2020-11-03 08:40:06,25,"05","25","0525",64,4.15888308335967,118,102
2020-11-03 08:40:38,26,"05","01","0501",36,3.58351893845611,94,100
2020-11-03 08:40:41,27,"02","02","0202",28,3.3322045101752,23,30
2020-11-03 08:41:04,28,"05","37","0537",56,4.02535169073515,130,100
2020-11-03 08:43:06,29,"46","16","4616",41,3.71357206670431,1150,72
2020-11-03 08:44:18,30,"39","09","3909",65,4.17438726989564,926,95
2020-11-03 08:45:33,31,"05","17","0517",69,4.23410650459726,110,103
2020-11-03 08:49:30,32,"08","34","0834",73,4.29045944114839,205,109
2020-11-03 08:49:35,33,"02","06","0206",69,4.23410650459726,27,109
2020-11-03 08:51:03,34,"08","28","0828",77,4.34380542185368,199,110
2020-11-03 08:53:47,35,"08","01","0801",40,3.68887945411394,172,67
2020-11-03 08:54:44,36,"36","40","3640",31,3.43398720448515,874,30
2020-11-03 08:56:22,37,"31","04","3104",29,3.36729582998647,690,30
2020-11-03 08:56:54,38,"02","13","0213",25,3.2188758248682,34,110
