"timestamp","ward","div","time_of_day","obs","vote_method"
"11/3/2020 9:16:01","1","4",16:20:00,"69","by mail"
"11/3/2020 9:16:35","57","2",08:00:00,"60","in person"
"11/3/2020 9:17:17","21","5",08:30:00,"91","in person"
"11/3/2020 9:18:05","21","5",08:30:00,"91","in person"
"11/3/2020 9:18:19","27","14",09:15:00,"51","in person"
"11/3/2020 9:19:08","26","5",08:15:00,"56","in person"
"11/3/2020 9:20:25","36","37",09:20:00,"100","in person"
"11/3/2020 9:20:53","36","38",09:20:00,"79","in person"
"11/3/2020 9:21:45","5","21",08:30:00,"92","in person"
"11/3/2020 9:22:05","05","32",09:20:00,"112","in person"
"11/3/2020 9:23:39","18","2",09:15:00,"73","in person"
"11/3/2020 9:24:28","29","11",09:24:00,"62","in person"
"11/3/2020 9:28:26","2","29",09:03:00,"95","in person"
"11/3/2020 9:29:20","8","12",09:23:00,"138","in person"
"11/3/2020 9:29:22","8","28",08:50:00,"77","in person"
"11/3/2020 9:29:23","2","3",11:11:00,"1247","by mail"
"11/3/2020 9:29:36","31","7",09:00:00,"100","in person"
"11/3/2020 9:31:39","36","39",09:15:00,"86","in person"
"11/3/2020 9:32:40","1","20",09:15:00,"76","in person"
"11/3/2020 9:33:22","3","8",09:30:00,"109","in person"
"11/3/2020 9:33:28","1","12",15:00:00,"12345","by mail"
"11/3/2020 9:34:10","8","7",09:30:00,"98","in person"
"11/3/2020 9:34:23","36","10",09:25:00,"84","in person"
"11/3/2020 9:34:35","8","18",09:34:00,"50","in person"
"11/3/2020 9:34:42","8","18",09:34:00,"50","in person"
"11/3/2020 9:36:33","8","17",09:35:00,"107","in person"
"11/3/2020 9:37:04","15","14",08:40:00,"68","in person"
"11/3/2020 9:37:19","1","6",08:00:00,"69","in person"
"11/3/2020 9:37:35","15","14",08:40:00,"68","in person"
"11/3/2020 9:38:24","60","8",09:38:00,"49","in person"
"11/3/2020 9:39:50","36","36",09:30:00,"108","in person"
"11/3/2020 9:40:20","1","14",07:15:00,"9","in person"
"11/3/2020 9:47:24","31","11",09:46:00,"104","in person"
"11/3/2020 9:47:56","02","04",09:47:00,"72","in person"
"11/3/2020 9:48:47","31","03",09:48:00,"122","by mail"
"11/3/2020 9:50:01","39","10",08:42:00,"872","by mail"
"11/3/2020 9:50:08","31","13",09:49:00,"81","by mail"
"11/3/2020 9:50:50","5","5",09:50:00,"92","in person"
"11/3/2020 9:51:43","46","17",12:00:00,"8","by mail"
"11/3/2020 9:55:11","8","17",14:00:00,"3","by mail"
"11/3/2020 9:55:24","5","28",09:55:00,"148","in person"
"11/3/2020 9:57:06","2","24",09:45:00,"110","in person"
"11/3/2020 9:57:40","2","24",09:45:00,"109","in person"
"11/3/2020 9:59:30","29","3",11:00:00,"2","by mail"
"11/3/2020 10:00:25","5","17",07:45:00,"35","in person"
"11/3/2020 10:01:23","36","36",09:58:00,"120","in person"
"11/3/2020 10:01:46","22","12",09:49:00,"74","in person"
"11/3/2020 10:04:00","8","17",08:00:00,"100","in person"
"11/3/2020 10:05:36","15","3",10:05:00,"129","in person"
"11/3/2020 10:06:04","05","17",10:02:00,"135","in person"
"11/3/2020 10:06:59","39","25",12:00:00,"327","by mail"
"11/3/2020 10:07:08","35","16",08:15:00,"56","in person"
"11/3/2020 10:08:07","22","17",07:20:00,"17","in person"
"11/3/2020 10:08:32","30","7",08:00:00,"69","by mail"
"11/3/2020 10:09:38","35","16",08:15:00,"56","in person"
"11/3/2020 10:12:04","21","5",07:40:00,"45","in person"
"11/3/2020 10:12:36","1","10",10:00:00,"97","in person"
"11/3/2020 10:13:06","2","22",09:40:00,"97","in person"
"11/3/2020 10:13:48","2","23",08:00:00,"3","by mail"
"11/3/2020 10:14:02","1","7",07:00:00,"1","by mail"
"11/3/2020 10:15:38","26","22",10:00:00,"82","in person"
"11/3/2020 10:16:08","30","6",10:03:00,"101","in person"
"11/3/2020 10:16:53","26","19",08:15:00,"77","in person"
"11/3/2020 10:17:08","26","22",08:00:00,"711","by mail"
"11/3/2020 10:17:54","8","35",10:02:00,"100","in person"
"11/3/2020 10:18:22","31","04",10:18:00,"156","in person"
"11/3/2020 10:21:48","47","1",10:20:00,"114","in person"
"11/3/2020 10:22:24","27","14",11:30:00,"2","by mail"
"11/3/2020 10:23:21","5","16",07:45:00,"41","in person"
"11/3/2020 10:23:43","5","15",10:18:00,"420","in person"
"11/3/2020 10:25:03","5","16",08:28:00,"70","in person"
"11/3/2020 10:26:20","5","5",09:50:00,"92","in person"
"11/3/2020 10:26:27","36","41",10:15:00,"78","in person"
"11/3/2020 10:26:52","5","5",09:50:00,"92","in person"
"11/3/2020 10:29:55","05","09",10:29:00,"188","in person"
"11/3/2020 10:30:21","15","13",10:30:00,"95","in person"
"11/3/2020 10:34:14","21","13",08:00:00,"13","in person"
"11/3/2020 10:40:10","5","37",10:39:00,"108","in person"
"11/3/2020 10:40:34","5","1",10:40:00,"75","in person"
"11/3/2020 10:40:35","31","15",10:15:00,"144","in person"
"11/3/2020 10:41:14","46","3",10:10:00,"60","in person"
"11/3/2020 10:41:29","15","17",09:45:00,"101","in person"
"11/3/2020 10:42:31","2","6",10:40:00,"115","in person"
"11/3/2020 10:43:02","5","5",10:42:00,"117","in person"
"11/3/2020 10:43:42","5","30",12:00:00,"9","by mail"
"11/3/2020 10:43:51","8","28",14:00:00,"111114435","by mail"
"11/3/2020 10:44:37","8","34",10:44:00,"93","in person"
"11/3/2020 10:45:22","8","7",09:30:00,"98","in person"
"11/3/2020 10:46:35","8","7",10:45:00,"115","in person"
"11/3/2020 10:46:51","15","3",10:45:00,"147","in person"
"11/3/2020 10:46:53","3","9",10:45:00,"129","in person"
"11/3/2020 10:50:27","36","29",10:40:00,"76","in person"
"11/3/2020 10:51:41","36","11",10:30:00,"77","by mail"
"11/3/2020 10:53:06","17","17",10:52:00,"90","in person"
"11/3/2020 10:53:40","17","17",10:52:00,"90","in person"
"11/3/2020 10:53:58","18","02",07:30:00,"38","in person"
"11/3/2020 10:57:06","27","6",10:50:00,"156","in person"
"11/3/2020 10:58:49","27","2",10:50:00,"77","by mail"
"11/3/2020 10:59:29","5","20",08:00:00,"16","by mail"
"11/3/2020 11:00:15","27","13",10:45:00,"96","in person"
"11/3/2020 11:00:22","46","22",10:02:00,"131","in person"
"11/3/2020 11:02:17","31","13",11:00:00,"536","by mail"
"11/3/2020 11:05:18","27","7",11:00:00,"86","in person"
"11/3/2020 11:05:43","31","3",11:11:00,"151","in person"
"11/3/2020 11:06:49","31","13",11:10:00,"101","in person"
"11/3/2020 11:07:12","2","1",08:30:00,"103","in person"
"11/3/2020 11:07:32","8","24",08:40:00,"57","in person"
"11/3/2020 11:07:59","60","8",11:07:00,"67","in person"
"11/3/2020 11:08:09","46","1",08:00:00,"37","in person"
"11/3/2020 11:08:38","22","08",11:00:00,"91","in person"
"11/3/2020 11:08:48","08","22",09:00:00,"0","in person"
"11/3/2020 11:09:43","8","29",00:00:00,"0","by mail"
"11/3/2020 11:10:13","21","1",11:00:00,"131","in person"
"11/3/2020 11:12:16","30","15",16:20:00,"69","by mail"
"11/3/2020 11:12:28","1","1",10:00:00,"79","in person"
"11/3/2020 11:12:42","1","2",10:00:00,"90","in person"
"11/3/2020 11:12:58","1","3",10:00:00,"136","in person"
"11/3/2020 11:13:19","1","4",10:00:00,"92","in person"
"11/3/2020 11:13:39","1","5",10:00:00,"45","in person"
"11/3/2020 11:13:59","1","6",10:00:00,"93","in person"
"11/3/2020 11:14:13","46","1",16:00:00,"33","by mail"
"11/3/2020 11:14:14","1","7",10:00:00,"40","in person"
"11/3/2020 11:14:29","1","8",10:00:00,"89","in person"
"11/3/2020 11:14:32","39","42",16:00:00,"777","by mail"
"11/3/2020 11:14:41","1","9",10:00:00,"83","in person"
"11/3/2020 11:14:53","1","10",10:00:00,"104","in person"
"11/3/2020 11:15:06","1","11",10:00:00,"86","in person"
"11/3/2020 11:15:19","1","12",10:00:00,"69","in person"
"11/3/2020 11:15:31","1","13",10:00:00,"122","in person"
"11/3/2020 11:15:46","1","14",10:00:00,"85","in person"
"11/3/2020 11:16:04","1","15",10:00:00,"139","in person"
"11/3/2020 11:16:16","1","16",10:00:00,"68","in person"
"11/3/2020 11:16:34","1","17",10:00:00,"79","in person"
"11/3/2020 11:16:47","1","18",10:00:00,"121","in person"
"11/3/2020 11:17:04","1","19",10:00:00,"75","in person"
"11/3/2020 11:17:38","1","20",10:00:00,"106","in person"
"11/3/2020 11:17:49","1","21",10:00:00,"130","in person"
"11/3/2020 11:18:06","39","43",11:17:00,"119","in person"
"11/3/2020 11:18:28","18","11",11:00:00,"150","in person"
"11/3/2020 11:18:54","26","25",08:15:00,"139","in person"
"11/3/2020 11:19:40","47","1",11:18:00,"135","in person"
"11/3/2020 11:19:58","31","3",11:00:00,"5","in person"
"11/3/2020 11:20:15","5","26",11:15:00,"175","in person"
"11/3/2020 11:20:37","59","4",11:00:00,"142","in person"
"11/3/2020 11:21:09","5","4",08:30:00,"105","in person"
"11/3/2020 11:22:30","6","1",00:00:00,"666","by mail"
"11/3/2020 11:22:54","15","3",11:22:00,"156","in person"
"11/3/2020 11:23:42","01","20",09:02:00,"63","in person"
"11/3/2020 11:24:23","15","9",08:00:00,"42","by mail"
"11/3/2020 11:25:07","8","19",08:10:00,"60","in person"
"11/3/2020 11:27:15","25","21",16:20:00,"69","by mail"
"11/3/2020 11:28:23","21","27",11:00:00,"5","by mail"
"11/3/2020 11:30:02","2","13",11:29:00,"47","in person"
"11/3/2020 11:30:12","9","4",09:15:00,"69","in person"
"11/3/2020 11:30:34","39","14",11:30:00,"140","in person"
"11/3/2020 11:30:49","49","20",11:30:00,"110","in person"
"11/3/2020 11:33:07","39","45",10:00:00,"156","in person"
"11/3/2020 11:34:09","1","2",11:00:00,"111","in person"
"11/3/2020 11:34:45","1","8",11:00:00,"105","in person"
"11/3/2020 11:35:15","1","9",11:00:00,"89","in person"
"11/3/2020 11:35:53","1","7",11:00:00,"54","in person"
"11/3/2020 11:36:10","08","33",11:30:00,"124","in person"
"11/3/2020 11:36:30","1","4",11:00:00,"120","in person"
"11/3/2020 11:36:34","46","22",07:50:00,"31","in person"
"11/3/2020 11:37:00","1","5",11:00:00,"47","in person"
"11/3/2020 11:37:38","46","19",10:30:00,"3636","by mail"
"11/3/2020 11:37:57","18","10",11:30:00,"140","in person"
"11/3/2020 11:39:27","8","34",11:39:00,"106","in person"
"11/3/2020 11:41:50","36","41",02:00:00,"00","by mail"
"11/3/2020 11:42:51","1","16",11:32:00,"99","in person"
"11/3/2020 11:43:51","5","37",11:43:00,"122","in person"
"11/3/2020 11:45:02","5","1",11:43:00,"99","in person"
"11/3/2020 11:45:05","27","2",11:45:00,"88","in person"
"11/3/2020 11:46:33","48","08",11:40:00,"118","in person"
"11/3/2020 11:50:18","58","9",07:01:00,"7","by mail"
"11/3/2020 11:51:04","39","28",14:00:00,"13","by mail"
"11/3/2020 11:52:28","8","28",13:00:00,"33","by mail"
"11/3/2020 11:53:23","05","28",11:53:00,"194","in person"
"11/3/2020 11:53:42","18","15",11:45:00,"121","in person"
