"timestamp","ward","div","time_of_day","obs","vote_method"
"11/3/2020 15:23:31","15","9",15:22:00,"154","in person"
"11/3/2020 15:24:09","60","1",15:23:00,"98","in person"
"11/3/2020 15:28:00","8","31",15:06:00,"156","in person"
"11/3/2020 15:28:56","39","43",15:28:00,"179","in person"
"11/3/2020 15:32:04","12","22",01:00:00,"7","by mail"
"11/3/2020 15:39:55","31","4",08:22:00,"82","in person"
"11/3/2020 15:43:32","40","42",08:47:00,"73","in person"
"11/3/2020 15:44:26","36","37",15:35:00,"190","in person"
"11/3/2020 15:44:55","36","37",15:35:00,"160","in person"
"11/3/2020 15:46:13","2","13",15:00:00,"65","in person"
"11/3/2020 15:46:27","31","11",15:34:00,"202","in person"
"11/3/2020 15:51:26","8","7",10:45:00,"115","in person"
"11/3/2020 15:51:49","5","25",15:54:00,"148","in person"
"11/3/2020 15:53:40","8","7",10:45:00,"115","in person"
"11/3/2020 15:55:31","46","9",09:30:00,"69","by mail"
"11/3/2020 15:56:50","46","16",08:00:00,"53","in person"
"11/3/2020 15:57:33","37","14",16:00:00,"215","in person"
"11/3/2020 15:57:51","46","18",15:57:00,"86","in person"
"11/3/2020 15:58:08","30","17",13:00:00,"3017","by mail"
"11/3/2020 15:58:20","46","08",15:58:00,"130","in person"
"11/3/2020 16:00:44","47","1",16:00:00,"192","in person"
"11/3/2020 16:02:43","9","12",09:14:00,"90","in person"
"11/3/2020 16:04:29","46","17",17:00:00,"69","by mail"
"11/3/2020 16:06:24","8","18",16:05:00,"102","in person"
"11/3/2020 16:07:44","2","4",17:30:00,"36","by mail"
"11/3/2020 16:08:28","59","19",11:00:00,"12","by mail"
"11/3/2020 16:09:54","8","17",16:05:00,"187","in person"
"11/3/2020 16:11:09","24","08",11:00:00,"13","by mail"
"11/3/2020 16:11:28","02","07",09:00:00,"69","by mail"
"11/3/2020 16:12:14","1","1",14:00:00,"149","in person"
"11/3/2020 16:12:25","39","14",16:11:00,"207","in person"
"11/3/2020 16:12:29","1","2",14:00:00,"160","in person"
"11/3/2020 16:12:30","31","13",16:12:00,"157","by mail"
"11/3/2020 16:12:37","31","13",16:12:00,"157","by mail"
"11/3/2020 16:12:42","1","3",14:00:00,"188","in person"
"11/3/2020 16:13:14","46","19",00:00:00,"337","by mail"
"11/3/2020 16:13:15","31","03",16:13:00,"218","by mail"
"11/3/2020 16:15:27","65","7",16:00:00,"460","in person"
"11/3/2020 16:19:20","48","22",08:00:00,"12","by mail"
"11/3/2020 16:20:28","17","16",16:20:00,"103","in person"
"11/3/2020 16:20:51","30","6",11:00:00,"125","in person"
"11/3/2020 16:23:14","39","35",16:00:00,"208","in person"
"11/3/2020 16:24:13","18","15",04:15:00,"190","in person"
"11/3/2020 16:24:15","27","14",07:15:00,"100","in person"
"11/3/2020 16:25:05","39","25",16:00:00,"215","in person"
"11/3/2020 16:25:05","58","23",15:45:00,"393","in person"
"11/3/2020 16:25:33","39","43",16:25:00,"196","in person"
"11/3/2020 16:25:48","18","16",16:15:00,"264","in person"
"11/3/2020 16:26:25","18","17",16:15:00,"292","in person"
"11/3/2020 16:27:28","27","14",16:27:00,"126","in person"
"11/3/2020 16:27:55","27","23",16:27:00,"153","in person"
"11/3/2020 16:28:06","30","13",10:00:00,"5","by mail"
"11/3/2020 16:28:59","5","25",16:15:00,"151","in person"
"11/3/2020 16:30:50","08","34",16:30:00,"133","in person"
"11/3/2020 16:30:56","22","23",04:15:00,"110","in person"
"11/3/2020 16:31:01","42","2",08:00:00,"41","in person"
"11/3/2020 16:32:05","29","18",13:00:00,"10","by mail"
"11/3/2020 16:32:27","29","16",09:00:00,"126","by mail"
"11/3/2020 16:33:20","8","26",16:30:00,"101","by mail"
"11/3/2020 16:33:40","29","18",12:00:00,"21","by mail"
"11/3/2020 16:35:37","60","11",15:30:00,"150","by mail"
"11/3/2020 16:37:18","52","24",16:30:00,"177","in person"
"11/3/2020 16:38:48","22","9",16:38:00,"144","in person"
"11/3/2020 16:40:18","22","14",16:39:00,"178","in person"
"11/3/2020 16:44:32","8","19",16:45:00,"139","by mail"
"11/3/2020 16:47:08","47","2",16:47:00,"116","in person"
"11/3/2020 16:47:32","47","1",16:45:00,"198","in person"
"11/3/2020 16:48:49","56","22",01:30:00,"138","in person"
"11/3/2020 16:49:14","56","22",13:30:00,"138","in person"
"11/3/2020 16:49:25","5","26",16:32:00,"238","in person"
"11/3/2020 16:50:55","24","08",12:30:00,"128","in person"
"11/3/2020 16:51:56","05","28",04:51:00,"265","in person"
"11/3/2020 16:52:01","30","7",10:00:00,"37","by mail"
"11/3/2020 16:52:34","8","7",10:45:00,"115","in person"
"11/3/2020 16:52:53","30","7",12:00:00,"314","by mail"
"11/3/2020 16:53:00","8","7",10:45:00,"115","in person"
"11/3/2020 16:56:22","8","8",04:00:00,"21","by mail"
"11/3/2020 16:59:54","46","23",16:30:00,"0","by mail"
"11/3/2020 17:01:05","5","7",15:00:00,"20","by mail"
"11/3/2020 17:03:12","29","11",16:56:00,"133","in person"
"11/3/2020 17:03:44","18","05",17:00:00,"249","in person"
"11/3/2020 17:04:14","34","34",17:00:00,"151","in person"
"11/3/2020 17:04:19","18","06",17:00:00,"233","in person"
"11/3/2020 17:04:45","18","12",17:00:00,"237","in person"
"11/3/2020 17:05:14","18","19",17:00:00,"203","in person"
"11/3/2020 17:06:15","55","10",17:10:00,"206","in person"
"11/3/2020 17:07:08","19","12",17:00:00,"171","in person"
"11/3/2020 17:07:59","21","5",17:00:00,"49","by mail"
"11/3/2020 17:12:22","18","10",17:11:00,"259","in person"
"11/3/2020 17:12:24","39","40",17:12:00,"144","in person"
"11/3/2020 17:13:31","39","40",17:12:00,"144","in person"
"11/3/2020 17:14:54","56","36",17:15:00,"122","in person"
"11/3/2020 17:16:29","2","11",15:33:00,"22","by mail"
"11/3/2020 17:21:36","2","3",07:00:00,"51","in person"
"11/3/2020 17:21:51","24","8",17:00:00,"200","in person"
"11/3/2020 17:22:12","66","23",18:04:00,"340","in person"
"11/3/2020 17:22:16","55","10",17:17:00,"197","in person"
"11/3/2020 17:22:53","2","16",07:45:00,"35","in person"
"11/3/2020 17:25:14","30","03",17:20:00,"129","in person"
"11/3/2020 17:26:55","48","13",14:36:00,"148","in person"
"11/3/2020 17:27:35","47","1",17:27:00,"202","in person"
"11/3/2020 17:28:21","8","33",11:30:00,"124","in person"
"11/3/2020 17:28:35","15","18",17:15:00,"178","in person"
"11/3/2020 17:32:10","60","8",17:31:00,"121","in person"
"11/3/2020 17:32:42","60","12",17:32:00,"163","in person"
"11/3/2020 17:32:52","31","3",17:30:00,"225","in person"
"11/3/2020 17:32:53","21","33",17:29:00,"330","in person"
"11/3/2020 17:33:17","48","14",12:00:00,"1941","by mail"
"11/3/2020 17:33:19","60","23",17:33:00,"158","in person"
"11/3/2020 17:33:58","44","8",17:33:00,"103","in person"
"11/3/2020 17:34:16","36","37",17:33:00,"211","in person"
"11/3/2020 17:34:26","31","13",17:30:00,"169","in person"
"11/3/2020 17:34:35","31","13",17:30:00,"169","in person"
"11/3/2020 17:34:47","60","1",17:34:00,"117","in person"
"11/3/2020 17:34:51","36","38",17:34:00,"179","in person"
"11/3/2020 17:35:10","60","2",17:35:00,"195","in person"
"11/3/2020 17:36:17","8","31",17:00:00,"177","in person"
"11/3/2020 17:39:30","46","10",11:11:00,"2448","by mail"
"11/3/2020 17:40:40","46","10",01:00:00,"1956","by mail"
"11/3/2020 17:41:17","50","27",10:30:00,"93","in person"
"11/3/2020 17:44:53","58","31",15:00:00,"7","by mail"
"11/3/2020 17:46:23","22","17",17:25:00,"125","in person"
"11/3/2020 17:48:37","17","17",17:48:00,"150","in person"
"11/3/2020 17:49:22","56","36",17:15:00,"122","in person"
"11/3/2020 17:50:41","8","28",09:00:00,"8","by mail"
"11/3/2020 17:50:57","1","18",07:30:00,"19","in person"
"11/3/2020 17:50:58","8","28",09:00:00,"8","by mail"
"11/3/2020 17:57:23","1","20",17:54:00,"199","in person"
"11/3/2020 17:59:13","40","08",16:17:00,"139","in person"
"11/3/2020 17:59:36","5","37",17:59:00,"163","in person"
"11/3/2020 17:59:47","1","20",16:05:00,"67","by mail"
"11/3/2020 18:00:06","5","1",17:59:00,"155","in person"
"11/3/2020 18:01:18","27","6",18:00:00,"261","by mail"
"11/3/2020 18:03:48","51","6",07:00:00,"116","by mail"
"11/3/2020 18:04:13","5","25",18:05:00,"158","in person"
"11/3/2020 18:04:55","1","11",18:04:00,"179","in person"
"11/3/2020 18:06:03","64","10",17:45:00,"8","in person"
"11/3/2020 18:07:50","22","9",18:02:00,"166","in person"
"11/3/2020 18:08:26","64","10",17:46:00,"214","in person"
"11/3/2020 18:09:26","39","14",18:00:00,"232","in person"
"11/3/2020 18:09:28","05","32",18:05:00,"240","in person"
"11/3/2020 18:10:14","05","17",18:09:00,"244","in person"
"11/3/2020 18:13:12","2","6",18:11:00,"186","in person"
"11/3/2020 18:15:33","60","23",09:10:00,"58","in person"
"11/3/2020 18:17:53","1","1",18:00:00,"136","in person"
"11/3/2020 18:17:57","64","14",18:15:00,"165","in person"
"11/3/2020 18:18:15","1","3",18:00:00,"230","in person"
"11/3/2020 18:18:40","1","10",18:00:00,"189","in person"
"11/3/2020 18:21:35","1","8",11:11:00,"6","by mail"
"11/3/2020 18:22:58","39","6",18:00:00,"288","in person"
"11/3/2020 18:23:16","31","10",18:20:00,"175","in person"
"11/3/2020 18:27:37","03","12",18:27:00,"209","in person"
"11/3/2020 18:28:04","36","17",14:30:00,"0","by mail"
"11/3/2020 18:29:43","31","10",18:20:00,"175","in person"
"11/3/2020 18:29:59","30","16",16:00:00,"2","by mail"
"11/3/2020 18:30:49","18","11",18:30:00,"253","in person"
"11/3/2020 18:31:37","18","14",04:20:00,"420","by mail"
"11/3/2020 18:32:15","60","09",18:30:00,"208","in person"
"11/3/2020 18:32:24","22","17",13:10:00,"101","in person"
"11/3/2020 18:33:23","31","16",17:00:00,"2","by mail"
"11/3/2020 18:36:10","05","28",06:35:00,"282","in person"
"11/3/2020 18:36:45","47","1",18:36:00,"209","in person"
"11/3/2020 18:36:52","05","09",06:36:00,"349","in person"
"11/3/2020 18:37:40","43","13",18:20:00,"175","in person"
"11/3/2020 18:38:01","47","2",18:36:00,"132","in person"
"11/3/2020 18:38:02","43","16",18:20:00,"166","in person"
"11/3/2020 18:38:18","1","10",15:00:00,"7","by mail"
"11/3/2020 18:38:31","43","14",18:20:00,"165","in person"
"11/3/2020 18:38:32","1","2",18:00:00,"195","in person"
"11/3/2020 18:38:48","1","4",18:00:00,"214","in person"
"11/3/2020 18:38:51","43","9",18:20:00,"109","in person"
"11/3/2020 18:38:58","15","2",00:00:00,"182","by mail"
"11/3/2020 18:39:00","1","10",15:00:00,"18","by mail"
"11/3/2020 18:39:06","1","5",18:00:00,"108","in person"
"11/3/2020 18:39:10","31","11",18:35:00,"250","in person"
"11/3/2020 18:39:14","43","10",18:20:00,"129","in person"
"11/3/2020 18:39:21","1","6",18:00:00,"168","in person"
"11/3/2020 18:39:35","1","7",18:00:00,"115","in person"
"11/3/2020 18:39:48","1","8",18:00:00,"160","in person"
"11/3/2020 18:40:04","1","9",18:00:00,"167","in person"
"11/3/2020 18:40:19","1","11",18:00:00,"180","in person"
"11/3/2020 18:40:31","1","12",18:00:00,"171","in person"
"11/3/2020 18:40:46","1","13",18:00:00,"240","in person"
"11/3/2020 18:40:57","1","14",18:00:00,"182","in person"
"11/3/2020 18:41:12","1","15",18:00:00,"276","in person"
"11/3/2020 18:41:15","5","34",18:35:00,"203","in person"
"11/3/2020 18:41:26","1","16",18:00:00,"163","in person"
"11/3/2020 18:41:38","1","17",18:00:00,"234","in person"
"11/3/2020 18:41:48","1","18",18:00:00,"271","in person"
"11/3/2020 18:42:09","1","19",18:00:00,"265","in person"
"11/3/2020 18:42:31","1","20",18:00:00,"198","in person"
"11/3/2020 18:42:31","22","14",18:40:00,"200","in person"
"11/3/2020 18:42:46","1","21",18:00:00,"279","in person"
"11/3/2020 18:46:53","31","11",18:46:00,"250","in person"
"11/3/2020 18:47:22","1","16",02:00:00,"8E+18","by mail"
"11/3/2020 18:50:51","18","19",17:00:00,"203","in person"
"11/3/2020 18:54:01","30","13",17:30:00,"9","by mail"
"11/3/2020 18:56:08","30","13",17:30:00,"9","by mail"
"11/3/2020 18:59:36","06","01",19:00:00,"201","in person"
"11/3/2020 18:59:39","47","1",19:00:00,"211","in person"
"11/3/2020 19:00:28","39","14",19:00:00,"238","in person"
"11/3/2020 19:00:35","58","39",15:15:00,"306","in person"
"11/3/2020 19:00:37","17","17",17:48:00,"150","in person"
"11/3/2020 19:00:49","27","13",19:00:00,"179","in person"
"11/3/2020 19:01:07","22","24",18:55:00,"128","in person"
"11/3/2020 19:01:25","46","17",16:20:00,"000","by mail"
"11/3/2020 19:01:38","27","06",19:00:00,"265","in person"
"11/3/2020 19:02:44","8","34",19:02:00,"137","in person"
"11/3/2020 19:05:44","49","30",17:00:00,"69","by mail"
"11/3/2020 19:08:41","36","29",19:05:00,"172","in person"
"11/3/2020 19:12:28","5","26",19:06:00,"248","in person"
"11/3/2020 19:17:48","3","9",19:15:00,"234","in person"
"11/3/2020 19:18:45","3","8",19:16:00,"217","in person"
"11/3/2020 19:26:45","1","12",01:29:00,"62","by mail"
"11/3/2020 19:28:48","22","21",19:20:00,"160","in person"
"11/3/2020 19:29:48","22","21",19:20:00,"160","in person"
"11/3/2020 19:30:16","31","3",19:32:00,"237","in person"
"11/3/2020 19:30:47","22","22",19:10:00,"160","in person"
"11/3/2020 19:31:20","31","13",19:32:00,"185","in person"
"11/3/2020 19:31:32","31","13",19:32:00,"185","in person"
"11/3/2020 19:33:17","47","1",19:30:00,"215","in person"
"11/3/2020 19:38:38","17","17",19:38:00,"164","in person"
"11/3/2020 19:39:04","17","17",19:38:00,"164","in person"
"11/3/2020 19:39:21","17","17",19:38:00,"164","in person"
"11/3/2020 19:39:42","17","17",19:38:00,"164","in person"
"11/3/2020 19:40:27","17","16",19:40:00,"125","in person"
"11/3/2020 19:53:55","29","10",10:00:00,"148","in person"
"11/3/2020 19:56:00","46","17",10:00:00,"2","by mail"
"11/3/2020 19:56:08","46","17",10:00:00,"2","by mail"
"11/3/2020 19:56:19","9","13",19:56:00,"142","by mail"
"11/3/2020 19:56:34","27","7",19:55:00,"153","in person"
"11/3/2020 19:57:19","27","2",19:57:00,"129","in person"
"11/3/2020 19:59:24","49","10",16:20:00,"188","in person"
"11/3/2020 20:01:34","1","3",02:22:00,"22","by mail"
"11/3/2020 20:15:51","25","13",12:00:00,"26","by mail"
"11/3/2020 20:16:58","3","3",05:00:00,"186","in person"
"11/3/2020 20:17:45","3","1",17:00:00,"169","in person"
"11/3/2020 20:18:16","3","4",17:00:00,"168","in person"
"11/3/2020 20:19:03","11","20",17:30:00,"224","in person"
